Property_Title,Property_URL,Location,Address,Price,Rate_per_sqft,Deposit,Property_Type,Room_Type,Bedrooms,Bathrooms,Balconies,Furnishing,Carpet_Area,Available_From,Available_For,Posted_By,Posted_Date,Rating,Nearby_Places,Scraped_Date
"3BHK3BathsIndependent/Builder Floor for Rentin Safdarjung Enclave RWA, Safdarjung Enclave, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-safdarjung-enclave-rwa-safdarjung-enclave-south-delhi-1700-sq-ft-spid-Y85460966,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Safdarjung Enclave Delhi - 1700 Sq. Ft.- Ground floor (out of 4),₹ 1.2,₹0,N/A,Independent,N/A,3,3,1,Furnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:18:10
"3BHK2BathsFlat/Apartment for Rentin premium Society , Mayur Vihar Phase 1 Extension, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-mayur-vihar-phase-1-extension-east-delhi-1700-sq-ft-spid-G85815848,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Mayur Vihar Phase 1 Extension Delhi - 1700 Sq. Ft.- 2nd floor (out of 7),"₹ 75,000",₹0,"₹ 1,50,000",Apartment/Flat,N/A,3,2,2,Furnished,1700 sq.ft,01 Nov,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:18:18
"4BHK4BathsFlat/Apartment for Rentin Vatika Apartment, Sector C Vasant Kunj, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-vatika-apartment-sector-c-vasant-kunj-south-delhi-2000-sq-ft-spid-Y84570160,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Vatika Apartment Sector C Vasant Kunj Delhi - 2000 Sq. Ft.- 1st floor (out of 4),₹ 2,₹0,N/A,Apartment/Flat,N/A,4,4,2,Unfurnished,2000 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:18:26
"4BHK4BathsFlat/Apartment for Rentin C BLOCK VASANT KUNJ, Sector C Vasant Kunj, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-sector-c-vasant-kunj-south-delhi-2100-sq-ft-spid-D85456130,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Sector C Vasant Kunj Delhi - 2100 Sq. Ft.- Ground floor (out of 3),"₹ 85,000",₹0,N/A,Apartment/Flat,N/A,4,4,2,Furnished,2100 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:18:35
"3BHK4BathsIndependent/Builder Floor for Rentin South Delhi Premium Builder Floors, Defence Colony, South Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-south-delhi-premium-builder-floors-defence-colony-south-delhi-2925-sq-ft-r20-spid-O45329141,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyDealer DetailsExplore LocalityRecommendationsArticlesHome›Property for rent in Delhi / NCR›Pr,₹ 2.85,N/A,N/A,Independent,N/A,3,4,N/A,Furnished,2925 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:18:43
"9Bedrooms10BathsIndependent House/Villa for Rentin Defence Colony Villas, Defence Colony, South Delhi",https://www.99acres.com/9-bhk-bedroom-independent-house-villa-for-rent-in-defence-colony-villas-defence-colony-south-delhi-2700-sq-ft-r17-spid-N45724519,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",House / Villa for rent in Defence Colony Villas Defence Colony South Delhi - 2700 Sq. Ft.,₹ 8.5,N/A,N/A,Independent,N/A,9,10,N/A,N/A,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:18:52
"4BHK4BathsIndependent/Builder Floor for Rentin SDA, Safdarjung Development Area, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-safdarjung-development-area-south-delhi-4050-sq-ft-spid-L85149230,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyFeng Shui/ Vaastu CompliantAiry RoomsParking AvailableModular KitchenFitness C,₹ 3,N/A,"₹ 6,00,000",Independent,N/A,4,4,2,Furnished,4050 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:01
"4BHK4BathsIndependent/Builder Floor for Rentin RWA Greater Kailash 2, Greater Kailash 2, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-rwa-greater-kailash-2-greater-kailash-2-south-delhi-2700-sq-ft-spid-I84967074,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Greater Kailash 2 Greater Kailash 2 Delhi - 2700 Sq. Ft.- 1st floor (out of 4),₹ 1.7,N/A,"₹ 3,40,000",Independent,N/A,4,4,2,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:09
"4BHK4BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-2885-sq-ft-spid-F85571866,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2885 Sq. Ft.- 22nd floor (out of 26),₹ 1.25,₹0,N/A,Apartment/Flat,N/A,4,4,3,Furnished,2885 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:19
"4BHK4BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-2885-sq-ft-spid-W85571950,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 2885 Sq. Ft.- 6th floor (out of 26),₹ 1.15,₹0,N/A,Apartment/Flat,N/A,4,4,3,Furnished,2885 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:29
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1465-sq-ft-spid-B85571800,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1465 Sq. Ft.- 20th floor (out of 26),"₹ 65,000",₹0,N/A,Apartment/Flat,N/A,3,3,3,Semi-Furnished,1465 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:38
"3BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1435-sq-ft-spid-F85571728,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1435 Sq. Ft.- 7th floor (out of 26),"₹ 55,000",₹0,N/A,Apartment/Flat,N/A,3,2,2,Semi-Furnished,1435 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:48
"4BHK5BathsIndependent/Builder Floor for Rentin Vasant Vihar, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-vasant-vihar-south-delhi-3600-sq-ft-spid-T84541638,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block MarketGurudwara SahibMunir khan tombGurudwaraState bank of india ATMCGHS Wellness Centre R.K.P,₹ 2.9,₹0,"₹ 5,70,000",Independent,N/A,4,5,3,N/A,3600 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:19:58
"4BHK4BathsIndependent/Builder Floor for Rentin Hauz Khas RWA, Hauz Khas, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-hauz-khas-rwa-hauz-khas-south-delhi-2799-sq-ft-spid-V85185494,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Hauz Khas Delhi - 2799 Sq. Ft.- 2nd floor (out of 4),₹ 1.75,N/A,"₹ 3,50,000",Independent,N/A,4,4,2,N/A,2799 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:20:08
"3BHK3BathsIndependent/Builder Floor for Rentin Greater Kailash 1, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-greater-kailash-1-south-delhi-1800-sq-ft-spid-B81254283,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyCorner PropertyMarble FlooringView 7 More Feng Shui/ Vaastu CompliantNatural LightAiry RoomsS,₹ 1.1,₹0,N/A,Independent,N/A,3,3,2,Unfurnished,1800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:20:18
"3BHK2BathsFlat/Apartment for Rentin builder floor Vasant Kunj , Bhawani Kunj, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-bhawani-kunj-south-delhi-1700-sq-ft-spid-M84462864,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Bhawani Kunj Delhi - 1700 Sq. Ft.- 3rd floor (out of 4),"₹ 65,000",₹0,N/A,Apartment/Flat,N/A,3,2,1,Unfurnished,1700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:20:28
"1RK1BathStudio Apartment for Rentin Studio Apartment , New Rajendra Nagar, Delhi",https://www.99acres.com/studio-apartment-flat-for-rent-in-new-rajendra-nagar-central-delhi-220-sq-ft-r3-spid-Z78873261,"West Delhi, Delhi South WestSend enquiry to DealerYou are Individual DealerIND (",Flat Flats for rent in New Rajendra Nagar Delhi - 220 Sq. Ft.- 4th floor (out of 4),"₹ 22,000",₹0,N/A,Apartment/Flat,N/A,1,1,1,Furnished,220 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:20:36
"4BHK4BathsIndependent/Builder Floor for Rentin Block D Vasant Vihar, South Delhi, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-block-d-vasant-vihar-south-delhi-5400-sq-ft-spid-B85781046,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block D Vasant Vihar South Delhi - 5400 Sq. Ft.- Ground floor (out of 4),₹ 5,₹0,"₹ 10,00,000",Independent,N/A,4,4,2,Unfurnished,5400 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:20:45
"4BHK4BathsFlat/Apartment for Rentin Unity  Group The Amaryllis, Karol Bagh, Delhi",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-unity-group-the-amaryllis-karol-bagh-central-delhi-2701-sq-ft-spid-U85296410,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Unity  Group The Amaryllis Karol Bagh Delhi - 2701 Sq. Ft.- 12th floor (out of 32),₹ 1.95,₹0,N/A,Apartment/Flat,N/A,4,4,3,Furnished,2701 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:20:54
"3BHK3BathsIndependent/Builder Floor for Rentin SOUTH EXTENSION PART-2, Block P South Extension 2, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-block-p-south-extension-2-south-delhi-2250-sq-ft-spid-B84882076,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block P South Extension 2 Delhi - 2250 Sq. Ft.- 2nd floor (out of 4),₹ 1.7,N/A,"₹ 3,40,000",Independent,N/A,3,3,2,N/A,2250 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:03
"1BHK1BathIndependent/Builder Floor for Rentin Chattarpur Enclave Phase 2, Delhi",https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-rent-in-chattarpur-enclave-phase-2-delhi-south-500-sq-ft-spid-V85676248,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Phase 2 Delhi - 500 Sq. Ft.- 1st floor (out of 4),"₹ 22,000",₹0,N/A,Independent,N/A,1,1,2,Furnished,500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:12
"4BHK4BathsIndependent/Builder Floor for Rentin RWA Greater Kailash 2, Greater Kailash 2, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-rwa-greater-kailash-2-greater-kailash-2-south-delhi-2700-sq-ft-r1-spid-M83934658,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Greater Kailash 2 Greater Kailash 2 Delhi - 2700 Sq. Ft.- Ground floor (out of 4),₹ 1.75,N/A,"₹ 3,50,000",Independent,N/A,4,4,2,Furnished,2700 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:21
"3BHK2BathsIndependent/Builder Floor for Rentin Old Rajinder Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-old-rajinder-nagar-central-delhi-850-sq-ft-r3-spid-F77675585,"West Delhi, Delhi South WestSend enquiry to DealerYou are Individual DealerIND (",HouseArt Of SpicesTalli Station Rajendra PlaceMcDonald'sImlyKitchen with a causeAdyar Ananda BhavanA,"₹ 50,000",₹0,N/A,Independent,N/A,3,2,1,Furnished,850 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:31
"3BHK2BathsIndependent/Builder Floor for Rentin Old Rajinder Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-old-rajinder-nagar-central-delhi-850-sq-ft-r4-spid-R76909863,"West Delhi, Delhi South WestSend enquiry to DealerYou are Individual DealerIND (",HouseArt Of SpicesKitchen with a causeManav Sthali SchoolSindhi Higher Secondary SchoolDI Khan Bhara,"₹ 55,000",₹0,N/A,Independent,N/A,3,2,1,Furnished,850 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:39
"3BHK3BathsIndependent/Builder Floor for Rentin Block E Greater Kailash 1, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-e-block-greater-kailash-1-south-delhi-1900-sq-ft-spid-E85136584,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Block E Greater Kailash 1 Delhi - 1900 Sq. Ft.- 3rd floor (out of 3),₹ 1.3,N/A,N/A,Independent,N/A,3,3,3,Furnished,1900 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:48
"4BHK4BathsIndependent/Builder Floor for Rentin RWA Panchsheel Park, Panchsheel Park, Delhi",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-rent-in-rwa-panchsheel-park-panchsheel-park-south-delhi-4500-sq-ft-spid-G84858940,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",RWA Panchsheel Park Panchsheel Park Delhi - 4500 Sq. Ft.- 1st floor (out of 3),₹ 2.4,N/A,"₹ 4,80,000",Independent,N/A,4,4,2,N/A,4500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:21:57
"1BHK2BathsFlat/Apartment for Rentin Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj, Delhi",https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-saraswati-narmada-ganga-yamuna-apartment-vasant-kunj-south-delhi-800-sq-ft-r5-spid-H58154848,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in Saraswati Narmada Ganga Yamuna Apartment Vasant Kunj Delhi - 800 Sq. Ft.- 2nd floor,"₹ 33,000",₹0,N/A,Apartment/Flat,N/A,1,2,1,Furnished,800 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:22:07
"3BHK3BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1753-sq-ft-spid-Q85222578,Paschim ViharFlats for rent in Mansarovar gardenFlats for rent in Baljeet NagarF,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1753 Sq. Ft.- 12th floor (out of 26),"₹ 58,000",₹0,N/A,Apartment/Flat,N/A,3,3,3,Furnished,1753 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:22:16
"3BHK3BathsFlat/Apartment for Rentin DDA Flats Sarita Vihar, Sarita Vihar, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dda-flats-sarita-vihar-sarita-vihar-south-delhi-1500-sq-ft-spid-F85059198,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Sarita Vihar Sarita Vihar Delhi - 1500 Sq. Ft.- 3rd floor (out of 4),"₹ 65,000",₹0,N/A,Apartment/Flat,N/A,3,3,2,Furnished,1500 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:22:26
"3BHK2BathsFlat/Apartment for Rentin DDA Flats, Kalkaji Extension, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dda-flats-kalkaji-extension-delhi-south-1600-sq-ft-r1-spid-F84057954,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",Flat for rent in DDA Flats Kalkaji Extension Delhi - 1600 Sq. Ft.- 2nd floor (out of 3),"₹ 40,000",₹0,N/A,Apartment/Flat,N/A,3,2,2,Semi-Furnished,1600 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:22:35
"3BHK3BathsFlat/Apartment for Rentin CGHS DJA Apartments, Sector 13 Dwarka, Delhi",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-cghs-dja-apartments-sector-13-dwarka-delhi-1805-sq-ft-spid-R85633778,West DelhiIt has a dedicated station on the Delhi Metro's Blue LineBlue Line con,Flat for rent in CGHS DJA Apartments Sector 13 Dwarka Delhi - 1805 Sq. Ft.- 5th floor (out of 10),"₹ 45,000",₹0,₹ 2,Apartment/Flat,N/A,3,3,3,Semi-Furnished,1805 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:22:44
"2BHK2BathsFlat/Apartment for Rentin DLF Capital Greens 1 and 2, Moti Nagar, Delhi",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dlf-capital-greens-1-and-2-moti-nagar-west-delhi-1418-sq-ft-spid-N85571656,Paschim ViharFlats for rent in Virender NagarFlats for rent in Jail RoadFlats fo,Flat for rent in DLF Capital Greens 1 and 2 Moti Nagar Delhi - 1418 Sq. Ft.- 18th floor (out of 26),"₹ 52,000",₹0,N/A,Apartment/Flat,N/A,2,2,2,Furnished,1418 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:22:53
"3BHK4BathsIndependent/Builder Floor for Rentin Greater Kailash 2 Luxurious Builder Floors, Greater Kailash 2, Delhi",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-rent-in-greater-kailash-2-luxurious-builder-floors-greater-kailash-2-south-delhi-2250-sq-ft-spid-U85212280,"West Delhi Jan 21, 2022Why Vikas Puri is a popular rental hub?Jan 04, 2022Delhi:",SocietyDealer DetailsExplore LocalityRecommendationsArticlesHome›Property for rent in Delhi / NCR›Pr,₹ 1.8,₹0,N/A,Independent,N/A,3,4,N/A,Semi-Furnished,2250 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:23:02
"2BHK2BathsIndependent/Builder Floor for Rentin Ramesh Nagar, Delhi",https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-rent-in-ramesh-nagar-west-delhi-900-sq-ft-spid-L85772570,"Paschim Vihar, DelhiEnquire NowContact NowVivek (Owner) 16th Aug, 2025 ₹ 35,000,",SocietyMarble FlooringView 1 More Parking AvailableFloor Number:Ground of 3 FloorsFlooring:MarbleGat,"₹ 39,000",N/A,N/A,Independent,N/A,2,2,2,Unfurnished,900 sq.ft,Immediate,N/A,Dealer,N/A,N/A,N/A,2025-10-12 16:23:11
